Control ID,Control Area,Control Statement,Control Type,Frequency,Objective,Framework Mapping,Source Name,Source Document
CTRL_000200,Security Management,8 SHIP SECURITY ASSESSMENT 8.1 The ship security assessment is an essential and integral part of the process of developing and updating the ship security plan.,Preventive,Not Specified,Improve maritime security controls,General Framework,General Framework,parta_final_conf_5_34_eng.pdf
CTRL_000201,Security Management,"8.2 The company security officer shall ensure that the ship security assessment is carried out by persons with appropriate skills to evaluate the security of a ship, in accordance with this section, taking into account the guidance given in part B of this Code.",Preventive,Not Specified,Improve maritime security controls,General Framework,General Framework,parta_final_conf_5_34_eng.pdf
CTRL_000202,Security Management,"8.3 Subject to the provisions of section 9.2.1, a recognised security organisation may carry out the ship security assessment of a specific ship.",Preventive,Not Specified,Improve maritime security controls,General Framework,General Framework,parta_final_conf_5_34_eng.pdf
CTRL_000203,Security Management,"8.4 The ship security assessment shall include an on-scene security survey and, at least, the following elements: .1 identification of existing security measures, procedures and operations; .2 identification and evaluation of key ship board operations that it is important to protect; ISPS Code Part A/Final/SOLAS/CONF.5/34 Page-9 .3 identification of possible threats to the key ship board operations and the likelihood of their occurrence, in order to establish and prioritise security measures; and .4 identification of weaknesses, including human factors in the infrastructure, policies and procedures.",Preventive,Not Specified,Improve maritime security controls,General Framework,General Framework,parta_final_conf_5_34_eng.pdf
CTRL_000204,Security Management,"8.5 The ship security assessment shall be documented, reviewed, accepted and retained by the Company.",Detective,Not Specified,Improve maritime security controls,General Framework,General Framework,parta_final_conf_5_34_eng.pdf
CTRL_000205,Security Management,9 SHIP SECURITY PLAN 9.1 Each ship shall carry on board a ship security plan approved by the Administration.,Preventive,Not Specified,Improve maritime security controls,General Framework,General Framework,parta_final_conf_5_34_eng.pdf
CTRL_000206,Security Management,The plan shall make provisions for the three security levels as defined in this part of the Code.,Preventive,Not Specified,Improve maritime security controls,General Framework,General Framework,parta_final_conf_5_34_eng.pdf
CTRL_000207,Security Management,"9.2 The Administration may entrust the review and approval of ship security plans, or of amendments to a previously approved plan, to recognised security organisations.",Detective,Not Specified,Improve maritime security controls,General Framework,General Framework,parta_final_conf_5_34_eng.pdf
CTRL_000208,Security Management,"9.2.1 In such cases the recognised security organisation, undertaking the review and approval of a ship security plan, or its amendments, for a specific ship shall not have been involved in either the preparation of the ship security assessment or of the ship security plan, or of the amendments, under review.",Detective,Not Specified,Improve maritime security controls,General Framework,General Framework,parta_final_conf_5_34_eng.pdf
CTRL_000209,Security Management,"9.3 The submission of a ship security plan, or of amendments to a previously approved plan, for approval shall be accompanied by the security assessment on the basis of which the plan, or the amendments, have been developed.",Preventive,Not Specified,Improve maritime security controls,General Framework,General Framework,parta_final_conf_5_34_eng.pdf
CTRL_000210,General Compliance,"9.4 Such a plan shall be developed, taking into account the guidance given in part B of this Code and shall be written in the working language or languages of the ship.",Preventive,Not Specified,Ensure compliance with regulatory requirements,General Framework,General Framework,parta_final_conf_5_34_eng.pdf
CTRL_000211,General Compliance,"If the language or languages used is not English, French or Spanish, a translation into one of these languages shall be included.",Preventive,Not Specified,Ensure compliance with regulatory requirements,General Framework,General Framework,parta_final_conf_5_34_eng.pdf
CTRL_000212,Access Control,"The plan shall address, at least, the following: .1 measures designed to prevent weapons, dangerous substances and devices intended for use against people, ships or ports and the carriage of which is not authorized from being taken on board the ship; .2 identification of the restricted areas and measures for the prevention of unauthorized access to them; .3 measures for the prevention of unauthorized access to the ship; .4 procedures for responding to security threats or breaches of security, including provisions for maintaining critical operations of the ship or ship/port interface; .5 procedures for responding to any security instructions Contracting Governments may give at security level 3; .6 procedures for evacuation in case of security threats or breaches of security; .7 duties of shipboard personnel assigned security responsibilities and of other shipboard personnel on security aspects; ISPS Code Part A/Final/SOLAS/CONF.5/34 Page-10 .8 procedures for auditing the security activities; .9 procedures for training, drills and exercises associated with the plan; .10 procedures for interfacing with port facility security activities; .11 procedures for the periodic review of the plan and for updating; .12 procedures for reporting security incidents; .13 identification of the ship security officer; .14 identification of the company security officer including with 24-hour contact details; .15 procedures to ensure the inspection, testing, calibration, and maintenance of any security equipment provided on board, if any; .16 frequency for testing or calibration any security equipment provided on board, if any; .17 identification of the locations where the ship security alert system activation points are provided;1 and .18 procedures, instructions and guidance on the use of the ship security alert system, including the testing, activation, deactivation and resetting and to limit false alerts.1 1 Administrations may allow, in order to avoid any compromising of the objective of providing on board the ship security alert system, this information to be kept elsewhere on board in a document known to the master, the ship security officer and other senior shipboard personnel as may be decided by the Company.",Preventive,Not Specified,Improve maritime security controls,General Framework,General Framework,parta_final_conf_5_34_eng.pdf
CTRL_000213,Audit & Monitoring,9.4.1 Personnel conducting internal audits of the security activities specified in the plan or evaluating its implementation shall be independent of the activities being audited unless this is impracticable due to the size and the nature of the Company or of the ship.,Preventive,Not Specified,Improve maritime security controls,General Framework,General Framework,parta_final_conf_5_34_eng.pdf
CTRL_000214,Security Management,9.5 The Administration shall determine which changes to an approved ship security plan or to any security equipment specified in an approved plan shall not be implemented unless the relevant amendments to the plan are approved by the Administration.,Preventive,Not Specified,Improve maritime security controls,General Framework,General Framework,parta_final_conf_5_34_eng.pdf
CTRL_000215,General Compliance,Any such changes shall be at least as effective as those measures prescribed in chapter XI-2 and this part of the Code.,Preventive,Not Specified,Ensure compliance with regulatory requirements,General Framework,General Framework,parta_final_conf_5_34_eng.pdf
CTRL_000216,Security Management,"9.5.1 The nature of the changes to the ship security plan or the security equipment that have been specifically approved by the Administration, pursuant to section 9.5, shall be documented in a manner that clearly indicates such approval.",Preventive,Not Specified,Improve maritime security controls,General Framework,General Framework,parta_final_conf_5_34_eng.pdf
CTRL_000217,Security Management,This approval shall be available on board and shall be presented together with the International Ship Security Certificate (or the Interim International Ship Security Certificate).,Preventive,Not Specified,Improve maritime security controls,General Framework,General Framework,parta_final_conf_5_34_eng.pdf
CTRL_000218,General Compliance,"If these changes are temporary, once the original approved measures or equipment are reinstated, this documentation no longer needs to be retained by the ship.",Preventive,Not Specified,Ensure compliance with regulatory requirements,General Framework,General Framework,parta_final_conf_5_34_eng.pdf
CTRL_000219,General Compliance,"In such a case, it shall be protected by procedures aimed at preventing its unauthorised deletion, destruction or amendment.",Preventive,Not Specified,Ensure compliance with regulatory requirements,General Framework,General Framework,parta_final_conf_5_34_eng.pdf
CTRL_000220,Access Control,9.7 The plan shall be protected from unauthorized access or disclosure.,Preventive,Not Specified,Ensure compliance with regulatory requirements,General Framework,General Framework,parta_final_conf_5_34_eng.pdf
CTRL_000221,Access Control,"9.8.1 If the officers duly authorised by a Contracting Government have clear grounds to believe that the ship is not in compliance with the requirements of chapter XI-2 or part A of this Code, and the only ISPS Code Part A/Final/SOLAS/CONF.5/34 Page-11 means to verify or rectify the non-compliance is to review the relevant requirements of the ship security plan, limited access to the specific sections of the plan relating to the non-compliance is exceptionally allowed, but only with the consent of the Contracting Government of, or the master of, the ship concerned.",Detective,Not Specified,Improve maritime security controls,General Framework,General Framework,parta_final_conf_5_34_eng.pdf
CTRL_000222,Incident Management,"10 RECORDS 10.1 Records of the following activities addressed in the ship security plan shall be kept on board for at least the minimum period specified by the Administration, bearing in mind the provisions of regulation XI-2/9.2.3: .1 training, drills and exercises; .2 security threats and security incidents; .3 breaches of security; .4 changes in security level; .5 communications relating to the direct security of the ship such as specific threats to the ship or to port facilities the ship is, or has been; .6 internal audits and reviews of security activities; .7 periodic review of the ship security assessment; .8 periodic review of the ship security plan; .9 implementation of any amendments to the plan; and .10 maintenance, calibration and testing of security equipment, if any including testing of the ship security alert system.",Preventive,Not Specified,Improve maritime security controls,General Framework,General Framework,parta_final_conf_5_34_eng.pdf
CTRL_000223,General Compliance,10.2 The records shall be kept in the working language or languages of the ship.,Preventive,Not Specified,Ensure compliance with regulatory requirements,General Framework,General Framework,parta_final_conf_5_34_eng.pdf
CTRL_000224,Access Control,10.4 The records shall be protected from unauthorized access or disclosure.,Preventive,Not Specified,Ensure compliance with regulatory requirements,General Framework,General Framework,parta_final_conf_5_34_eng.pdf
CTRL_000225,Security Management,11 COMPANY SECURITY OFFICER 11.1 The Company shall designate a company security officer.,Preventive,Not Specified,Improve maritime security controls,General Framework,General Framework,parta_final_conf_5_34_eng.pdf
CTRL_000226,Audit & Monitoring,"11.2 In addition to those specified elsewhere in this part of the Code, the duties and responsibilities of the company security officer shall include, but are not limited to: ISPS Code Part A/Final/SOLAS/CONF.5/34 Page-12 .1 advising the level of threats likely to be encountered by the ship, using appropriate security assessments and other relevant information; .2 ensuring that ship security assessments are carried out; .3 ensuring the development, the submission for approval, and thereafter the implementation and maintenance of the ship security plan; .4 ensuring that the ship security plan is modified, as appropriate, to correct deficiencies and satisfy the security requirements of the individual ship; .5 arranging for internal audits and reviews of security activities; .6 arranging for the initial and subsequent verifications of the ship by the Administration or the recognised security organisation; .7 ensuring that deficiencies and non-conformities identified during internal audits, periodic reviews, security inspections and verifications of compliance are promptly addressed and dealt with; .8 enhancing security awareness and vigilance; .9 ensuring adequate training for personnel responsible for the security of the ship; .10 ensuring effective communication and co-operation between the ship security officer and the relevant port facility security officers; .11 ensuring consistency between security requirements and safety requirement; .12 ensuring that, if sister-ship or fleet security plans are used, the plan for each ship reflects the ship-specific information accurately; and .13 ensuring that any alternative or equivalent arrangements approved for a particular ship or group of ships are implemented and maintained.",Preventive,Not Specified,Improve maritime security controls,General Framework,General Framework,parta_final_conf_5_34_eng.pdf
CTRL_000227,Security Management,12 SHIP SECURITY OFFICER 12.1 A ship security officer shall be designated on each ship.,Preventive,Not Specified,Improve maritime security controls,General Framework,General Framework,parta_final_conf_5_34_eng.pdf
CTRL_000228,Training & Awareness,"13 TRAINING, DRILLS AND EXERCISES ON SHIP SECURITY 13.1 The company security officer and appropriate shore-based personnel shall have knowledge and have received training, taking into account the guidance given in part B of this Code.",Preventive,Not Specified,Improve maritime security controls,General Framework,General Framework,parta_final_conf_5_34_eng.pdf
CTRL_000229,Training & Awareness,"13.2 The ship security officer shall have knowledge and have received training, taking into account the guidance given in part B of this Code.",Preventive,Not Specified,Improve maritime security controls,General Framework,General Framework,parta_final_conf_5_34_eng.pdf
CTRL_000230,Security Management,"13.3 Shipboard personnel having specific security duties and responsibilities shall understand their responsibilities for ship security as described in the ship security plan and shall have sufficient knowledge and ability to perform their assigned duties, taking into account the guidance given in Part B of this Code.",Preventive,Not Specified,Improve maritime security controls,General Framework,General Framework,parta_final_conf_5_34_eng.pdf
CTRL_000231,Security Management,"13.4 To ensure the effective implementation of the ship security plan, drills shall be carried out at appropriate intervals taking into account the ship type, ship personnel changes, port facilities to be visited and other relevant circumstances, taking into account guidance given in part B of this Code.",Preventive,Not Specified,Improve maritime security controls,General Framework,General Framework,parta_final_conf_5_34_eng.pdf
CTRL_000232,Security Management,"13.5 The company security officer shall ensure the effective coordination and implementation of ship security plans by participating in exercises at appropriate intervals, taking into account the guidance given in part B of this Code.",Preventive,Not Specified,Improve maritime security controls,General Framework,General Framework,parta_final_conf_5_34_eng.pdf
CTRL_000233,Security Management,14 PORT FACILITY SECURITY 14.1 A port facility is required to act upon the security levels set by the Contracting Government within whose territory it is located.,Preventive,Not Specified,Improve maritime security controls,General Framework,General Framework,parta_final_conf_5_34_eng.pdf
CTRL_000234,Security Management,"Security measures and procedures shall be applied at the port facility in such a manner as to cause a minimum of interference with, or delay to, passengers, ship, ship’s personnel and visitors, goods and services.",Preventive,Not Specified,Improve maritime security controls,General Framework,General Framework,parta_final_conf_5_34_eng.pdf
CTRL_000235,Access Control,"14.2 At security level 1, the following activities shall be carried out through appropriate measures in all port facilities, taking into account the guidance given in part B of this Code, in order to identify and take preventive measures against security incidents: .1 ensuring the performance of all port facility security duties; .2 controlling access to the port facility; .3 monitoring of the port facility, including anchoring and berthing area(s); .4 monitoring restricted areas to ensure that only authorized persons have access; ISPS Code Part A/Final/SOLAS/CONF.5/34 Page-14 .5 supervising the handling of cargo; .6 supervising the handling of ship.s stores; and .7 ensuring that security communication is readily available.",Preventive,Not Specified,Improve maritime security controls,General Framework,General Framework,parta_final_conf_5_34_eng.pdf
CTRL_000236,Security Management,"14.4 At security level 3, further specific protective measures, specified in the port facility security plan, shall be implemented for each activity detailed in section 14.2, taking into account the guidance given in part B of this Code.",Preventive,Not Specified,Improve maritime security controls,General Framework,General Framework,parta_final_conf_5_34_eng.pdf
CTRL_000237,Security Management,"14.4.1 In addition, at security level 3, port facilities are required to respond to and implement any security instructions given by the Contracting Government within whose territory the port facility is located.",Preventive,Not Specified,Improve maritime security controls,General Framework,General Framework,parta_final_conf_5_34_eng.pdf
CTRL_000238,Security Management,"14.5 When a port facility security officer is advised that a ship encounters difficulties in complying with the requirements of chapter XI-2 or this part or in implementing the appropriate measures and procedures as detailed in the ship security plan, and in the case of security level 3 following any security instructions given by the Contracting Government within whose territory the port facility is located, the port facility security officer and ship security officer shall liase and co-ordinate appropriate actions.",Preventive,Not Specified,Improve maritime security controls,General Framework,General Framework,parta_final_conf_5_34_eng.pdf
CTRL_000239,Security Management,"14.6 When a port facility security officer is advised that a ship is at a security level, which is higher than that of the port facility, shall report the matter to the competent authority and shall liase with the ship security officer and co-ordinate appropriate actions, if necessary.",Preventive,Not Specified,Improve maritime security controls,General Framework,General Framework,parta_final_conf_5_34_eng.pdf
CTRL_000240,Security Management,15 PORT FACILITY SECURITY ASSESSMENT 15.1 The port facility security assessment is an essential and integral part of the process of developing and updating the port facility security plan.,Preventive,Not Specified,Improve maritime security controls,General Framework,General Framework,parta_final_conf_5_34_eng.pdf
CTRL_000241,Security Management,15.2 The port facility security assessment shall be carried out by the Contracting Government within whose territory the port facility is located.,Preventive,Not Specified,Improve maritime security controls,General Framework,General Framework,parta_final_conf_5_34_eng.pdf
CTRL_000242,Security Management,A Contracting Government may authorise a recognised security organisation to carry out the port facility security assessment of a specific port facility located within its territory.,Preventive,Not Specified,Improve maritime security controls,General Framework,General Framework,parta_final_conf_5_34_eng.pdf
CTRL_000243,Security Management,"15.2.1 When the port facility security assessment has been carried out by a recognised security organisation, the security assessment shall be reviewed and approved for compliance with this section by the Contracting Government within whose territory the port facility is located.",Detective,Not Specified,Improve maritime security controls,General Framework,General Framework,parta_final_conf_5_34_eng.pdf
CTRL_000244,Security Management,"15.3 The persons carrying out the assessment shall have appropriate skills to evaluate the security of the port facility in accordance with this section, taking into account the guidance given in part B of this Code.",Preventive,Not Specified,Improve maritime security controls,General Framework,General Framework,parta_final_conf_5_34_eng.pdf
CTRL_000245,Security Management,"15.4 The port facility security assessments shall periodically be reviewed and updated, taking account of changing threats and/or minor changes in the port facility and shall always be reviewed and updated when major changes to the port facility take place.",Detective,Periodic,Improve maritime security controls,General Framework,General Framework,parta_final_conf_5_34_eng.pdf
CTRL_000246,Security Management,"15.5 The port facility security assessment shall include, at least, the following elements: .1 identification and evaluation of important assets and infrastructure it is important to protect; ISPS Code Part A/Final/SOLAS/CONF.5/34 Page-15 .2 identification of possible threats to the assets and infrastructure and the likelihood of their occurrence, in order to establish and prioritize security measures; .3 identification, selection and prioritization of counter measures and procedural changes and their level of effectiveness in reducing vulnerability; and .4 identification of weaknesses, including human factors in the infrastructure, policies and procedures.",Preventive,Not Specified,Improve maritime security controls,General Framework,General Framework,parta_final_conf_5_34_eng.pdf
CTRL_000247,Security Management,"15.6 The Contracting Government may allow a port facility security assessment to cover more than one port facility if the operator, location, operation, equipment, and design of these port facilities are similar.",Preventive,Not Specified,Improve maritime security controls,General Framework,General Framework,parta_final_conf_5_34_eng.pdf
CTRL_000248,General Compliance,"Any Contracting Government, which allows such an arrangement shall communicate to the Organization particulars thereof.",Preventive,Not Specified,Ensure compliance with regulatory requirements,General Framework,General Framework,parta_final_conf_5_34_eng.pdf
CTRL_000249,Security Management,"15.7 Upon completion of the port facility security assessment, a report shall be prepared, consisting of a summary of how the assessment was conducted, a description of each vulnerability found during the assessment and a description of counter measures that could be used to address each vulnerability.",Preventive,Not Specified,Improve maritime security controls,General Framework,General Framework,parta_final_conf_5_34_eng.pdf
CTRL_000250,Security Management,"16 PORT FACILITY SECURITY PLAN 16.1 A port facility security plan shall be developed and maintained, on the basis of a port facility security assessment, for each port facility, adequate for the ship/port interface.",Preventive,Not Specified,Improve maritime security controls,General Framework,General Framework,parta_final_conf_5_34_eng.pdf
CTRL_000251,Security Management,16.2 The port facility security plan shall be approved by the Contracting Government in whose territory the port facility is located.,Preventive,Not Specified,Improve maritime security controls,General Framework,General Framework,parta_final_conf_5_34_eng.pdf
CTRL_000252,General Compliance,16.3 Such a plan shall be developed taking into account the guidance given in Part B of this Code and shall be in the working language of the port facility.,Preventive,Not Specified,Ensure compliance with regulatory requirements,General Framework,General Framework,parta_final_conf_5_34_eng.pdf
CTRL_000253,Access Control,"The plan shall address, at least, the following: .1 measures designed to prevent weapons or any other dangerous substances and devices intended for use against people, ships or ports and the carriage of which is not authorized, from being introduced into the port facility or on board a ship; .2 measures designed to prevent unauthorized access to the port facility, to ships moored at the facility, and to restricted areas of the facility; .3 procedures for responding to security threats or breaches of security, including provisions for maintaining critical operations of the port facility or ship/port interface; .4 procedures for responding to any security instructions the Contracting Government, in whose territory the port facility is located, may give at security level 3; .5 procedures for evacuation in case of security threats or breaches of security; .6 duties of port facility personnel assigned security responsibilities and of other facility personnel on security aspects; .7 procedures for interfacing with ship security activities; .8 procedures for the periodic review of the plan and updating; ISPS Code Part A/Final/SOLAS/CONF.5/34 Page-16 .9 procedures for reporting security incidents; .10 identification of the port facility security officer including 24-hour contact details; .11 measures to ensure the security of the information contained in the plan; .12 measures designed to ensure effective security of cargo and the cargo handling equipment at the port facility; .13 procedures for auditing the port facility security plan; .14 procedures for responding in case the ship security alert system of a ship at the port facility has been activated; and .15 procedures for facilitating shore leave for ship’s personnel or personnel changes, as well as access of visitors to the ship including representatives of seafarers.",Preventive,Not Specified,Improve maritime security controls,General Framework,General Framework,parta_final_conf_5_34_eng.pdf
CTRL_000254,Security Management,16.5 The Contracting Government in whose territory the port facility is located shall determine which changes to the port facility security plan shall not be implemented unless the relevant amendments to the plan are approved by them.,Preventive,Not Specified,Improve maritime security controls,General Framework,General Framework,parta_final_conf_5_34_eng.pdf
CTRL_000255,Security Management,17 PORT FACILITY SECURITY OFFICER 17.1 A port facility security officer shall be designated for each port facility.,Preventive,Not Specified,Improve maritime security controls,General Framework,General Framework,parta_final_conf_5_34_eng.pdf
CTRL_000256,Training & Awareness,"17.2 In addition to those specified elsewhere in this part of the Code, the duties and responsibilities of the port facility security officer shall include, but are not limited to: .1 conducting an initial comprehensive security survey of the port facility taking into account the relevant port facility security assessment; .2 ensuring the development and maintenance of the port facility security plan; .3 implementing and exercising the port facility security plan; ISPS Code Part A/Final/SOLAS/CONF.5/34 Page-17 .4 undertaking regular security inspections of the port facility to ensure the continuation of appropriate security measures; .5 recommending and incorporating, as appropriate, modifications to the port facility security plan in order to correct deficiencies and to update the plan to take into account of relevant changes to the port facility; .6 enhancing security awareness and vigilance of the port facility personnel; .7 ensuring adequate training has been provided to personnel responsible for the security of the port facility; .8 reporting to the relevant authorities and maintaining records of occurrences which threaten the security of the port facility; .9 co-ordinating implementation of the port facility security plan with the appropriate Company and ship security officer(s); .10 co-ordinating with security services, as appropriate; .11 ensuring that standards for personnel responsible for security of the port facility are met; .12 ensuring that security equipment is properly operated, tested, calibrated and maintained, if any; and .13 assisting ship security officers in confirming the identity of those seeking to board the ship when requested.",Preventive,Not Specified,Improve maritime security controls,General Framework,General Framework,parta_final_conf_5_34_eng.pdf
CTRL_000257,Security Management,17.3 The port facility security officer shall be given the necessary support to fulfil the duties and responsibilities imposed by chapter XI-2 and this part of this Code.,Preventive,Not Specified,Improve maritime security controls,General Framework,General Framework,parta_final_conf_5_34_eng.pdf
CTRL_000258,Training & Awareness,"18 TRAINING, DRILLS AND EXERCISES ON PORT FACILITY SECURITY 18.1 The port facility security officer and appropriate port facility security personnel shall have knowledge and have received training, taking into account the guidance given in part B of this Code.",Preventive,Not Specified,Improve maritime security controls,General Framework,General Framework,parta_final_conf_5_34_eng.pdf
CTRL_000259,Security Management,"18.2 Port facility personnel having specific security duties shall understand their duties and responsibilities for port facility security, as described in the port facility security plan and shall have sufficient knowledge and ability to perform their assigned duties, taking into account the guidance given in part B of this Code.",Preventive,Not Specified,Improve maritime security controls,General Framework,General Framework,parta_final_conf_5_34_eng.pdf
CTRL_000260,Security Management,"18.3 To ensure the effective implementation of the port facility security plan, drills shall be carried out at appropriate intervals taking into account the types of operations of the port facility, port facility personnel changes, the type of ship the port facility is serving and other relevant circumstances, taking into account guidance given in part B of this Code.",Preventive,Not Specified,Improve maritime security controls,General Framework,General Framework,parta_final_conf_5_34_eng.pdf
CTRL_000261,Security Management,"19 VERIFICATION AND CERTIFICATION FOR SHIPS 19.1 Verifications ISPS Code Part A/Final/SOLAS/CONF.5/34 Page-18 19.1.1 Each ship to which this part of the Code applies shall be subject to the verifications specified below: .1 an initial verification before the ship is put in service or before the certificate required under section 19.2 is issued for the first time, which shall include a complete verification of its security system and any associated security equipment covered by the relevant provisions of chapter XI-2, this part of the Code and the approved ship security plan.",Preventive,Not Specified,Improve maritime security controls,General Framework,General Framework,parta_final_conf_5_34_eng.pdf
CTRL_000262,Security Management,"This verification shall ensure that the security system and any associated security equipment of the ship fully complies with the applicable requirements of chapter XI-2 and this part of the Code, is in satisfactory condition and fit for the service for which the ship is intended; .2 a renewal verification at intervals specified by the Administration, but not exceeding five years, except where section 19.3.1 or 19.3.4 is applicable.",Preventive,Not Specified,Improve maritime security controls,General Framework,General Framework,parta_final_conf_5_34_eng.pdf
CTRL_000263,Security Management,"This verification shall ensure that the security system and any associated security equipment of the ship fully complies with the applicable requirements of chapter XI-2, this part of the Code and the approved Ship Security Plan, is in satisfactory condition and fit for the service for which the ship is intended; .3 at least one intermediate verification.",Preventive,Not Specified,Improve maritime security controls,General Framework,General Framework,parta_final_conf_5_34_eng.pdf
CTRL_000264,General Compliance,If only one intermediate verification is carried out it shall take place between the second and third anniversary date of the certificate as defined in regulation I/2(n).,Preventive,Not Specified,Ensure compliance with regulatory requirements,General Framework,General Framework,parta_final_conf_5_34_eng.pdf
CTRL_000265,Security Management,The intermediate verification shall include inspection of the security system and any associated security equipment of the ship to ensure that it remains satisfactory for the service for which the ship is intended.,Detective,Not Specified,Improve maritime security controls,General Framework,General Framework,parta_final_conf_5_34_eng.pdf
CTRL_000266,General Compliance,Such intermediate verification shall be endorsed on the certificate; .4 any additional verifications as determined by the Administration.,Preventive,Not Specified,Ensure compliance with regulatory requirements,General Framework,General Framework,parta_final_conf_5_34_eng.pdf
CTRL_000267,General Compliance,19.1.2 The verifications of ships shall be carried out by officers of the Administration.,Preventive,Not Specified,Ensure compliance with regulatory requirements,General Framework,General Framework,parta_final_conf_5_34_eng.pdf
CTRL_000268,General Compliance,"19.1.3 In every case, the Administration concerned shall fully guarantee the completeness and efficiency of the verification and shall undertake to ensure the necessary arrangements to satisfy this obligation.",Preventive,Not Specified,Ensure compliance with regulatory requirements,General Framework,General Framework,parta_final_conf_5_34_eng.pdf
CTRL_000269,Security Management,"19.1.4 The security system and any associated security equipment of the ship after verification shall be maintained to conform with the provisions of regulations XI-2/4.2 and XI-2/6, this part of the Code and the approved ship security plan.",Preventive,Not Specified,Improve maritime security controls,General Framework,General Framework,parta_final_conf_5_34_eng.pdf
CTRL_000270,Security Management,"After any verification under section 19.1.1 has been completed, no changes shall be made in security system and in any associated security equipment or the approved ship security plan without the sanction of the Administration.",Preventive,Not Specified,Improve maritime security controls,General Framework,General Framework,parta_final_conf_5_34_eng.pdf
CTRL_000271,Security Management,19.2 Issue or endorsement of certificate 19.2.1 An International Ship Security Certificate shall be issued after the initial or renewal verification in accordance with the provisions of section 19.1.,Preventive,Not Specified,Improve maritime security controls,General Framework,General Framework,parta_final_conf_5_34_eng.pdf
CTRL_000272,Security Management,19.2.2 Such certificate shall be issued or endorsed either by the Administration or by the a recognized security organization acting on behalf of the Administration.,Preventive,Not Specified,Improve maritime security controls,General Framework,General Framework,parta_final_conf_5_34_eng.pdf
CTRL_000273,Security Management,"19.2.3 Another Contracting Government may, at the request of the Administration, cause the ship to be verified and, if satisfied that the provisions of section 19.1.1 are complied with, shall issue or authorize the issue of an International Ship Security Certificate to the ship and, where appropriate, endorse or authorize the endorsement of that certificate on the ship, in accordance with this Code.",Preventive,Not Specified,Improve maritime security controls,General Framework,General Framework,parta_final_conf_5_34_eng.pdf
CTRL_000274,General Compliance,ISPS Code Part A/Final/SOLAS/CONF.5/34 Page-19 19.2.3.1 A copy of the certificate and a copy of the verification report shall be transmitted as soon as possible to the requesting Administration.,Preventive,Not Specified,Ensure compliance with regulatory requirements,General Framework,General Framework,parta_final_conf_5_34_eng.pdf
CTRL_000275,General Compliance,19.2.3.2 A certificate so issued shall contain a statement to the effect that it has been issued at the request of the Administration and it shall have the same force and receive the same recognition as the certificate issued under section 19.2.2.,Preventive,Not Specified,Ensure compliance with regulatory requirements,General Framework,General Framework,parta_final_conf_5_34_eng.pdf
CTRL_000276,Security Management,19.2.4 The International Ship Security Certificate shall be drawn up in a form corresponding to the model given in the appendix to this Code.,Corrective,Not Specified,Improve maritime security controls,General Framework,General Framework,parta_final_conf_5_34_eng.pdf
CTRL_000277,Security Management,19.3 Duration and validity of certificate 19.3.1 An International Ship Security Certificate shall be issued for a period specified by the Administration which shall not exceed five years.,Preventive,Not Specified,Improve maritime security controls,General Framework,General Framework,parta_final_conf_5_34_eng.pdf
CTRL_000278,General Compliance,"19.3.2 When the renewal verification is completed within three months before the expiry date of the existing certificate, the new certificate shall be valid from the date of completion of the renewal verification to a date not exceeding five years from the date of expiry of the existing certificate.",Preventive,Not Specified,Ensure compliance with regulatory requirements,General Framework,General Framework,parta_final_conf_5_34_eng.pdf
CTRL_000279,Security Management,"19.3.4 If a renewal verification has been completed and a new certificate cannot be issued or placed on board the ship before the expiry date of the existing certificate, the Administration or recognized security organization acting on behalf of the Administration may endorse the existing certificate and such a certificate shall be accepted as valid for a further period which shall not exceed five months from the expiry date.",Preventive,Not Specified,Improve maritime security controls,General Framework,General Framework,parta_final_conf_5_34_eng.pdf
CTRL_000280,General Compliance,"19.3.5 If a ship at the time when a certificate expires is not in a port in which it is to be verified, the Administration may extend the period of validity of the certificate but this extension shall be granted only for the purpose of allowing the ship to complete its voyage to the port in which it is verified, and then only in cases where it appears proper and reasonable to do so.",Preventive,Not Specified,Ensure compliance with regulatory requirements,General Framework,General Framework,parta_final_conf_5_34_eng.pdf
CTRL_000281,General Compliance,"No certificate shall be extended for a period longer than three months, and the ship to which an extension is granted shall not, on its arrival in the port in which it is to be verified, be entitled by virtue of such extension to leave that port without having a new certificate.",Preventive,Not Specified,Ensure compliance with regulatory requirements,General Framework,General Framework,parta_final_conf_5_34_eng.pdf
CTRL_000282,General Compliance,"When the renewal verification is completed, the new certificate shall be valid to a date not exceeding five years from the expiry date of the existing certificate before the extension was granted.",Preventive,Not Specified,Ensure compliance with regulatory requirements,General Framework,General Framework,parta_final_conf_5_34_eng.pdf
CTRL_000283,General Compliance,"ISPS Code Part A/Final/SOLAS/CONF.5/34 Page-20 19.3.7 If an intermediate verification is completed before the period specified in section 19.1.1, then: .1 the expiry date shown on the certificate shall be amended by endorsement to a date which shall not be more than three years later than the date on which the intermediate verification was completed; .2 the expiry date may remain unchanged provided one or more additional verifications are carried out so that the maximum intervals between the verifications prescribed by section 19.1.1 are not exceeded.",Preventive,Not Specified,Ensure compliance with regulatory requirements,General Framework,General Framework,parta_final_conf_5_34_eng.pdf
